WF100: Oslo Gardermoen (OSL) to Stavanger Sola (SVG), 340 km, 44 min. Aircraft: DH4D
WF101: Oslo Gardermoen (OSL) to Bergen Flesland (BGO), 323 km, 42 min. Aircraft: DH4D
WF102: Oslo Gardermoen (OSL) to Trondheim Værnes (TRD), 362 km, 46 min. Aircraft: DH4D
WF103: Oslo Gardermoen (OSL) to Kristiansand Kjevik (KRS), 280 km, 38 min. Aircraft: DH4D
WF104: Oslo Gardermoen (OSL) to Haugesund Karmøy (HAU), 342 km, 44 min. Aircraft: DH4D
WF105: Oslo Gardermoen (OSL) to Ålesund Vigra (AES), 372 km, 47 min. Aircraft: DH4D
WF106: Oslo Gardermoen (OSL) to Molde Årø (MOL), 347 km, 45 min. Aircraft: DH4D
WF107: Oslo Gardermoen (OSL) to Sandefjord Torp (TRF), 122 km, 23 min. Aircraft: DH4D
WF108: Oslo Gardermoen (OSL) to Kristiansund Kvernberget (KSU), 366 km, 46 min. Aircraft: DH4D
WF109: Stavanger Sola (SVG) to Oslo Gardermoen (OSL), 340 km, 44 min. Aircraft: DH4D
WF110: Stavanger Sola (SVG) to Bergen Flesland (BGO), 159 km, 27 min. Aircraft: DH4D
WF111: Stavanger Sola (SVG) to Trondheim Værnes (TRD), 582 km, 67 min. Aircraft: DH4D
WF112: Stavanger Sola (SVG) to Kristiansand Kjevik (KRS), 160 km, 27 min. Aircraft: DH4D
WF113: Stavanger Sola (SVG) to Haugesund Karmøy (HAU), 57 km, 17 min. Aircraft: DH4D
WF114: Stavanger Sola (SVG) to Ålesund Vigra (AES), 410 km, 51 min. Aircraft: DH4D
WF115: Stavanger Sola (SVG) to Molde Årø (MOL), 439 km, 53 min. Aircraft: DH4D
WF116: Stavanger Sola (SVG) to Sandefjord Torp (TRF), 266 km, 37 min. Aircraft: DH4D
WF117: Stavanger Sola (SVG) to Kristiansund Kvernberget (KSU), 485 km, 58 min. Aircraft: DH4D
WF118: Stavanger Sola (SVG) to Stord Sørstokken (SRP), 103 km, 22 min. Aircraft: DH4D
WF119: Bergen Flesland (BGO) to Oslo Gardermoen (OSL), 323 km, 42 min. Aircraft: DH4D
WF120: Bergen Flesland (BGO) to Stavanger Sola (SVG), 159 km, 27 min. Aircraft: DH4D
WF121: Bergen Flesland (BGO) to Trondheim Værnes (TRD), 461 km, 55 min. Aircraft: DH4D
WF122: Bergen Flesland (BGO) to Kristiansand Kjevik (KRS), 283 km, 39 min. Aircraft: DH4D
WF123: Bergen Flesland (BGO) to Haugesund Karmøy (HAU), 105 km, 22 min. Aircraft: DH4D
WF124: Bergen Flesland (BGO) to Ålesund Vigra (AES), 256 km, 36 min. Aircraft: DH4D
WF125: Bergen Flesland (BGO) to Molde Årø (MOL), 293 km, 40 min. Aircraft: DH4D
WF126: Bergen Flesland (BGO) to Sandefjord Torp (TRF), 307 km, 41 min. Aircraft: DH4D
WF127: Bergen Flesland (BGO) to Kristiansund Kvernberget (KSU), 342 km, 44 min. Aircraft: DH4D
WF128: Bergen Flesland (BGO) to Stord Sørstokken (SRP), 56 km, 17 min. Aircraft: DH4D
WF129: Trondheim Værnes (TRD) to Oslo Gardermoen (OSL), 362 km, 46 min. Aircraft: DH4D
WF130: Trondheim Værnes (TRD) to Stavanger Sola (SVG), 582 km, 67 min. Aircraft: DH4D
WF131: Trondheim Værnes (TRD) to Bergen Flesland (BGO), 461 km, 55 min. Aircraft: DH4D
WF132: Trondheim Værnes (TRD) to Bodø (BOO), 452 km, 55 min. Aircraft: DH4D
WF133: Trondheim Værnes (TRD) to Tromsø Langnes (TOS), 775 km, 85 min. Aircraft: DH4D
WF134: Trondheim Værnes (TRD) to Kristiansand Kjevik (KRS), 603 km, 69 min. Aircraft: DH4D
WF135: Trondheim Værnes (TRD) to Haugesund Karmøy (HAU), 548 km, 64 min. Aircraft: DH4D
WF136: Trondheim Værnes (TRD) to Ålesund Vigra (AES), 262 km, 37 min. Aircraft: DH4D
WF137: Trondheim Værnes (TRD) to Molde Årø (MOL), 200 km, 31 min. Aircraft: DH4D
WF138: Trondheim Værnes (TRD) to Sandefjord Torp (TRF), 476 km, 57 min. Aircraft: DH4D
WF139: Trondheim Værnes (TRD) to Kristiansund Kvernberget (KSU), 159 km, 27 min. Aircraft: DH4D
WF140: Trondheim Værnes (TRD) to Harstad/Narvik Evenes (EVE), 616 km, 70 min. Aircraft: DH4D
WF141: Trondheim Værnes (TRD) to Bardufoss (BDU), 708 km, 79 min. Aircraft: DH4D
WF142: Trondheim Værnes (TRD) to Røros (RRS), 100 km, 21 min. Aircraft: DH4D
WF143: Trondheim Værnes (TRD) to Ørland (OLA), 70 km, 19 min. Aircraft: DH4D
WF144: Bodø (BOO) to Trondheim Værnes (TRD), 452 km, 55 min. Aircraft: DH4D
WF145: Bodø (BOO) to Tromsø Langnes (TOS), 326 km, 43 min. Aircraft: DH4D
WF146: Bodø (BOO) to Ålesund Vigra (AES), 650 km, 73 min. Aircraft: DH4D
WF147: Bodø (BOO) to Molde Årø (MOL), 602 km, 69 min. Aircraft: DH4D
WF148: Bodø (BOO) to Kristiansund Kvernberget (KSU), 553 km, 64 min. Aircraft: DH4D
WF149: Bodø (BOO) to Harstad/Narvik Evenes (EVE), 166 km, 28 min. Aircraft: DH4D
WF150: Bodø (BOO) to Bardufoss (BDU), 263 km, 37 min. Aircraft: DH4D
WF151: Bodø (BOO) to Alta (ALF), 472 km, 56 min. Aircraft: DH4D
WF152: Bodø (BOO) to Kirkenes Høybuktmoen (KKN), 686 km, 76 min. Aircraft: DH4D
WF153: Bodø (BOO) to Andenes Andøya (ANX), 236 km, 34 min. Aircraft: DH4D
WF154: Tromsø Langnes (TOS) to Trondheim Værnes (TRD), 775 km, 85 min. Aircraft: DH4D
WF155: Tromsø Langnes (TOS) to Bodø (BOO), 326 km, 43 min. Aircraft: DH4D
WF156: Tromsø Langnes (TOS) to Harstad/Narvik Evenes (EVE), 159 km, 27 min. Aircraft: DH4D
WF157: Tromsø Langnes (TOS) to Bardufoss (BDU), 71 km, 19 min. Aircraft: DH4D
WF158: Tromsø Langnes (TOS) to Alta (ALF), 173 km, 28 min. Aircraft: DH4D
